bird.id,flock.trt,assign.trt,mg.status,PID,PID.code,l.score,r.score,comb.score
2656,s,i,i,16,c,1.5,1.5,3
2661,fl,nt,i,15,c,1,0,1
2666,fl,nt,i,15,c,2.5,0,2.5
2669,fl,nt,i,15,c,2,1,3
2673,fl,nt,u,15,c,0,0,0
2674,fl,sc,i,16,c,3,0.5,3.5
2677,fl,sc,i,16,c,1.5,1,2.5
2680,fl,nt,u,15,c,0,0,0
2688,fl,nt,u,15,c,0,0,0
2696,fl,nt,i,15,c,0.5,0,0.5
2700,fl,i,i,15,c,2.5,2.5,5
2701,fl,nt,i,15,c,3,0,3
2707,fl,i,i,16,c,3,3,6
2711,fl,nt,u,15,c,0,0,0
2714,fl,sc,u,16,c,0,0,0
2716,s,i,i,15,c,0,0,0
